; Additional parameters:
; Temperature (TEMP) =   2.50000000e+001
; Temperature (TNOM) =   2.50000000e+001
; Local inaccuracy =   9.99999700e-003
; reltol =   1.00000000e-003
; Acceleration level = with acceleration

TIME     'v(in1)'     'v(in2)'     'v(out)'
  0.00000000e+000  0.00000000e+000  0.00000000e+000  1.29999992e+000
  2.00000000e-012  2.60000000e-003  2.60000000e-003  1.30111451e+000
  6.00000000e-012  7.80000000e-003  7.80000000e-003  1.30241266e+000
  1.40000000e-011  1.82000000e-002  1.82000000e-002  1.30264027e+000
  3.00000000e-011  3.90000000e-002  3.90000000e-002  1.30279340e+000
  6.20000000e-011  8.06000000e-002  8.06000000e-002  1.30285599e+000
  1.26000000e-010  1.63800000e-001  1.63800000e-001  1.30308208e+000
  1.55829268e-010  2.02578049e-001  2.02578049e-001  1.30321016e+000
  2.15487805e-010  2.80134147e-001  2.80134147e-001  1.30352067e+000
  2.72508783e-010  3.54261417e-001  3.54261417e-001  1.30387732e+000
  3.20869083e-010  4.17129808e-001  4.17129808e-001  1.30001026e+000
  3.67667543e-010  4.77967806e-001  4.77967806e-001  1.28897452e+000
  4.04992937e-010  5.26490818e-001  5.26490818e-001  1.27745192e+000
  4.48824204e-010  5.83471465e-001  5.83471465e-001  1.25453613e+000
  5.05210920e-010  6.56774196e-001  6.56774196e-001  1.18974096e+000
  5.49996927e-010  7.14996005e-001  7.14996005e-001  9.77469768e-001
  5.88570930e-010  7.65142209e-001  7.65142209e-001  5.64787099e-001
  6.24123193e-010  8.11360151e-001  8.11360151e-001  2.14294273e-001
  6.49642462e-010  8.44535201e-001  8.44535201e-001  1.15926169e-001
  6.73311322e-010  8.75304718e-001  8.75304718e-001  8.17385054e-002
  7.00406009e-010  9.10527811e-001  9.10527811e-001  5.09032629e-002
  7.31718369e-010  9.51233879e-001  9.51233879e-001  3.05591521e-002
  7.63030729e-010  9.91939947e-001  9.91939947e-001  1.72541804e-002
  8.23181916e-010  1.07013649e+000  1.07013649e+000  8.69440861e-003
  9.11591058e-010  1.18506838e+000  1.18506838e+000  5.99372990e-003
  1.00000000e-009  1.30000000e+000  1.30000000e+000  5.68796362e-003
  1.17681788e-009  1.30000000e+000  1.30000000e+000  1.31795689e-004
  1.43345628e-009  1.30000000e+000  1.30000000e+000  5.55319116e-006
  1.74541074e-009  1.30000000e+000  1.30000000e+000  3.58870442e-006
  2.36931966e-009  1.30000000e+000  1.30000000e+000  3.56343609e-006
  3.61713750e-009  1.30000000e+000  1.30000000e+000  3.56325167e-006
  6.11277318e-009  1.30000000e+000  1.30000000e+000  3.56325060e-006
  1.10000000e-008  1.30000000e+000  1.30000000e+000  3.56325060e-006
  1.13333334e-008  8.66666623e-001  1.30000000e+000  2.47001051e-002
  1.13730943e-008  8.14977437e-001  1.30000000e+000  4.57309739e-002
  1.14128552e-008  7.63288250e-001  1.30000000e+000  7.88555561e-002
  1.14526161e-008  7.11599064e-001  1.30000000e+000  1.27655522e-001
  1.15026934e-008  6.46498528e-001  1.30000000e+000  2.66462777e-001
  1.15523715e-008  5.81917107e-001  1.30000000e+000  6.69056548e-001
  1.15878166e-008  5.35838384e-001  1.30000000e+000  1.03616184e+000
  1.16161636e-008  4.98987331e-001  1.30000000e+000  1.17471016e+000
  1.16388684e-008  4.69471110e-001  1.30000000e+000  1.21558910e+000
  1.16721158e-008  4.26249511e-001  1.30000000e+000  1.24892598e+000
  1.16997542e-008  3.90319499e-001  1.30000000e+000  1.26716082e+000
  1.17479804e-008  3.27625454e-001  1.30000000e+000  1.28607190e+000
  1.18323259e-008  2.17976371e-001  1.30000000e+000  1.29584514e+000
  1.19161630e-008  1.08988055e-001  1.30000000e+000  1.29659762e+000
  1.20000000e-008  0.00000000e+000  1.30000000e+000  1.29711191e+000
  1.21676739e-008  0.00000000e+000  1.30000000e+000  1.29993171e+000
  1.25030218e-008  0.00000000e+000  1.30000000e+000  1.29999846e+000
  1.29615008e-008  0.00000000e+000  1.30000000e+000  1.29999926e+000
  1.38784587e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  1.57123745e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  1.78561874e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  2.00000000e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  2.03333334e-008  4.33333377e-001  1.30000000e+000  1.26291299e+000
  2.03996267e-008  5.19514656e-001  1.30000000e+000  1.20073858e+000
  2.04249450e-008  5.52428446e-001  1.30000000e+000  1.15815402e+000
  2.04736703e-008  6.15771410e-001  1.30000000e+000  9.61228890e-001
  2.05145676e-008  6.68937845e-001  1.30000000e+000  5.81772553e-001
  2.05514275e-008  7.16855760e-001  1.30000000e+000  2.12086809e-001
  2.05825054e-008  7.57257037e-001  1.30000000e+000  1.00108107e-001
  2.06054522e-008  7.87087877e-001  1.30000000e+000  8.41596604e-002
  2.06350034e-008  8.25504412e-001  1.30000000e+000  5.50700567e-002
  2.06677681e-008  8.68098567e-001  1.30000000e+000  3.60668314e-002
  2.07050412e-008  9.16553617e-001  1.30000000e+000  2.01911720e-002
  2.07695705e-008  1.00044165e+000  1.30000000e+000  7.79424453e-003
  2.08271779e-008  1.07533130e+000  1.30000000e+000  4.47119275e-003
  2.08847854e-008  1.15022096e+000  1.30000000e+000  3.84568222e-003
  2.10000000e-008  1.30000000e+000  1.30000000e+000  3.46948315e-003
  2.12304293e-008  1.30000000e+000  1.00044191e+000  1.02852651e-003
  2.13019170e-008  1.30000000e+000  9.07507930e-001  1.33136244e-002
  2.13734047e-008  1.30000000e+000  8.14573947e-001  4.67371660e-002
  2.14348866e-008  1.30000000e+000  7.34647427e-001  9.82674291e-002
